customer_tweet_id,customer_message,silver_intent,silver_confidence,silver_band,silver_source,human_intent
1166719,It’s done already ... but still no improvement,general_complaint,0.696,MEDIUM,vote,
63169,need you to check your DM’s. 😩😩😩,other,0.657,MEDIUM,vote,
2794387,my iPhone X is not covered by any case or screen protector. I have the IOS 11.1.2 software installed,account_store_repair,0.611,MEDIUM,vote,
2401249,#iOS11 No clock on Lock Screen. Need to reboot to have it displayed. Any suggestions ?? Did a full backup and restore,performance_crash,0.667,MEDIUM,vote,
1993387,Why all my i’s coming up as question marks?,keyboard_text_bug,0.702,MEDIUM,vote,
2247021,omg fix fucking airdrop for the love of god pls,connectivity,0.631,MEDIUM,vote,
1867360,The worst thing I made was download the lastest version of software.,general_complaint,0.707,MEDIUM,vote,
1817818,2/2 it's a shame that is not helping me with this problem. Everyone I know has the same issue.,general_complaint,0.732,MEDIUM,vote,
2285189,"Haven’t had my 7+ for even a year yet, and it’s giving me all kinds of problems🙄 and these updates making it worse. we need to have a talk.",general_complaint,0.677,MEDIUM,vote,
1476921,how is that I️ update my phone and it’s still acting up? explain this Tom foolery 🤨,keyboard_text_bug,0.7,MEDIUM,vote,
2414308,This problem has reoccurred,general_complaint,0.661,MEDIUM,vote,
959330,"Hey, i want ios 10 back on my phone, ios 11 almost broke it.",hardware_damage,0.698,MEDIUM,vote,
1625243,United States,general_complaint,0.3,LOW,fallback,
1151270,As if I just paid £145 to get my MacBook repaired to come home and it have THE SAME ISSUE. not happy.,general_complaint,0.3,LOW,fallback,
2639638,", what have you done to my phone, doing an update and I'm 6 hours in and still a blank phone , not happy 😡",general_complaint,0.3,LOW,fallback,
2048237,hey super sick of my phone becoming obsolete even being under a year or so old bcz of your forced new updates,general_complaint,0.3,LOW,fallback,
258902,"Hello, what's up with my Exercise Ring not tracking correctly? Having to exercise for an hour only to get 20 min on the ring!",general_complaint,0.3,LOW,fallback,
1896112,"I have just had a conversation with Chris in Customer Services. He has advised I cannot escalate my complaint higher as he can't answer all my questions. Is this true? I am fuming at your lack of help and support, fobbing me off is not an option",general_complaint,0.3,LOW,fallback,
2112951,I love how as soon as the iPhone x drops my home button suddenly stops working <url>,general_complaint,0.3,LOW,fallback,
2446404,"That worked — thanks! ...can you also tell me why I keep getting unsubscribed from one of my podcasts? Just one, not the others",general_complaint,0.3,LOW,fallback,
1940679,"I have reached out to they did a remote diagnostic, they told me to wait for an upcoming 4.01 Watch OS upgrade for relief",general_complaint,0.3,LOW,fallback,
396083,"Sorry, 17 GB.",general_complaint,0.3,LOW,fallback,
1535746,Hey. Any idea when your activation servers are going to be back up? Pretty bummed.,general_complaint,0.3,LOW,fallback,
945674,i need to erase my iphone that got stolen ASAP!!! i can't see the verification code cause it got stolen please help,general_complaint,0.3,LOW,fallback,
1650158,"Hey , why is my 72 hour old iPhone X already randomly shutting itself off?",general_complaint,0.3,LOW,fallback,
1178923,thank you for completely ruining my iPhone 6 with your latest updates #ios11 made my phone almost unusable,general_complaint,0.3,LOW,fallback,
1920075,"Dear , please provide an update that will make my iPhone semi-functional again. Feel like I’m in dial up modem days.",general_complaint,0.3,LOW,fallback,
150016,Why am I getting such pop up message? And when those songs will be available? <url>,general_complaint,0.3,LOW,fallback,
629717,Not sure what’s happening with my #macbook #finder #macos #highsierra <url>,general_complaint,0.3,LOW,fallback,
243097,#Apple Thq 🙏🏼,general_complaint,0.3,LOW,fallback,
1169550,issue wid #iPhone5s on iOS11:ringer vol control frm 'Control Center' or physicl buttns doesn't effect settings changes. <url>,general_complaint,0.3,LOW,fallback,
1286452,"Dear your new update is screwed up. My phone is working slower, constantly freezing. When is this being fixed?",general_complaint,0.3,LOW,fallback,
