gid,stratum,weak
g095,edge:closure,general_complaint
g096,multi_turn,hardware_damage
g097,intent:performance_crash,performance_crash
g098,intent:hardware_damage,hardware_damage
g099,edge:safety,general_complaint
g100,intent:connectivity,connectivity
g101,intent:data_loss_sync,data_loss_sync
g102,multi_turn,non_english
g103,intent:performance_crash,performance_crash
g104,multi_turn,hardware_damage
g105,multi_turn,general_complaint
g106,intent:apps_services,apps_services
g107,short,general_complaint
g108,multi_turn,performance_crash
g109,intent:battery_power,battery_power
g110,intent:data_loss_sync,data_loss_sync
g111,intent:data_loss_sync,data_loss_sync
g112,short,general_complaint
g113,short,general_complaint
g114,intent:hardware_damage,hardware_damage
g115,intent:hardware_damage,hardware_damage
g116,intent:general_complaint,general_complaint
g117,intent:performance_crash,performance_crash
g118,intent:general_complaint,general_complaint
g119,intent:general_complaint,general_complaint
g120,multi_turn,apps_services
g121,multi_turn,performance_crash
g122,intent:battery_power,battery_power
g123,intent:battery_power,battery_power
g124,intent:general_complaint,general_complaint
g125,multi_turn,general_complaint
g126,intent:non_english,non_english
g127,intent:account_store_repair,account_store_repair
g128,multi_turn,general_complaint
g129,intent:general_complaint,general_complaint
g130,intent:keyboard_text_bug,keyboard_text_bug
g131,multi_turn,general_complaint
g132,intent:apps_services,apps_services
g133,edge:safety,general_complaint
g134,intent:performance_crash,performance_crash
g135,multi_turn,general_complaint
g136,intent:apps_services,apps_services
g137,intent:connectivity,connectivity
g138,intent:data_loss_sync,data_loss_sync
g139,intent:keyboard_text_bug,keyboard_text_bug
g140,multi_turn,non_english
g141,intent:general_complaint,general_complaint
g142,short,general_complaint
g143,edge:non_english,non_english
g144,intent:performance_crash,performance_crash
g145,intent:general_complaint,general_complaint
g146,intent:general_complaint,general_complaint
g147,intent:connectivity,connectivity
g148,intent:connectivity,connectivity
g149,intent:general_complaint,general_complaint
g150,edge:non_english,non_english
g151,edge:abuse_no_symptom,hardware_damage
g152,multi_turn,general_complaint
g153,intent:account_store_repair,account_store_repair
g154,intent:apps_services,apps_services
g155,edge:pii,keyboard_text_bug
g156,multi_turn,general_complaint
g157,intent:connectivity,connectivity
g158,intent:apps_services,apps_services
g159,intent:account_store_repair,account_store_repair
g160,intent:keyboard_text_bug,keyboard_text_bug
g161,multi_turn,general_complaint
g162,multi_turn,general_complaint
g163,intent:performance_crash,performance_crash
g164,multi_turn,general_complaint
g165,intent:non_english,non_english
g166,multi_turn,performance_crash
g167,multi_turn,general_complaint
g168,intent:general_complaint,general_complaint
g169,short,general_complaint
g170,multi_turn,general_complaint
g171,intent:account_store_repair,account_store_repair
g172,intent:non_english,non_english
g173,intent:apps_services,apps_services
g174,short,general_complaint
g175,intent:data_loss_sync,data_loss_sync
g176,intent:keyboard_text_bug,keyboard_text_bug
g177,edge:safety,general_complaint
g178,multi_turn,apps_services
g179,intent:data_loss_sync,data_loss_sync
g180,intent:apps_services,apps_services
g181,intent:data_loss_sync,data_loss_sync
g182,intent:performance_crash,performance_crash
g183,intent:performance_crash,performance_crash
g184,intent:battery_power,battery_power
g185,intent:general_complaint,general_complaint
g186,multi_turn,general_complaint
g187,intent:battery_power,battery_power
g188,intent:non_english,non_english
g189,short,battery_power
g190,intent:non_english,non_english
g191,multi_turn,general_complaint
g192,intent:performance_crash,performance_crash
g193,edge:abuse_no_symptom,performance_crash
g194,intent:general_complaint,general_complaint
g195,intent:keyboard_text_bug,keyboard_text_bug
g196,intent:performance_crash,performance_crash
